"name","chistians","muslims","unaffiliated","hindus","buddhists","folkReligions","other","jews","pop2020"
"Reunion",740000,40000,20000,40000,5000,5000,5000,5000,"895.3120"
"Romania",21380000,70000,20000,5000,5000,5000,5000,5000,"19237.6910"
"Russia",104750000,14290000,23180000,30000,170000,310000,5000,230000,"145934.4620"
"Rwanda",9920000,190000,380000,5000,5000,100000,20000,5000,"12952.2180"
"Samoa",180000,5000,5000,5000,5000,5000,5000,5000,"198.4140"
"San Marino",30000,5000,5000,5000,5000,5000,5000,5000,"33.9310"
"Sao Tome and Principe",140000,5000,20000,5000,5000,5000,5000,5000,"219.1590"
"Saudi Arabia",1200000,25520000,180000,310000,90000,70000,70000,5000,"34813.8710"
"Senegal",450000,11980000,5000,5000,5000,5000,5000,5000,"16743.9270"
"Serbia",7490000,330000,260000,5000,5000,5000,5000,5000,"8737.3710"
"Seychelles",90000,5000,5000,5000,5000,5000,5000,5000,"98.3470"
"Sierra Leone",1230000,4580000,5000,5000,5000,50000,5000,5000,"7976.9830"
"Singapore",920000,730000,830000,260000,1730000,120000,490000,5000,"5850.3420"
"Sint Maarten",40000,5000,5000,5000,5000,5000,5000,5000,"42.8760"
"Slovakia",4660000,5000,780000,5000,5000,5000,5000,5000,"5459.6420"
"Slovenia",1590000,70000,370000,5000,5000,5000,5000,5000,"2078.9380"
"Solomon Islands",520000,5000,5000,5000,5000,5000,5000,5000,"686.8840"
"Somalia",5000,9310000,5000,5000,5000,5000,5000,5000,"15893.2220"
"South Africa",40710000,860000,7450000,570000,100000,210000,170000,70000,"59308.6900"
"South Korea",14170000,100000,22340000,5000,11050000,400000,110000,5000,"51269.1850"
"South Sudan",6010000,610000,50000,5000,5000,3270000,5000,5000,"11193.7250"
"Spain",36240000,980000,8740000,20000,5000,20000,10000,60000,"46754.7780"
"Sri Lanka",1530000,2040000,5000,2830000,14450000,5000,5000,5000,"21413.2490"
"Sudan",1810000,30490000,350000,5000,5000,950000,5000,5000,"43849.2600"
"Suriname",270000,80000,30000,100000,5000,30000,5000,5000,"586.6320"
"Sweden",6310000,430000,2540000,20000,40000,20000,20000,10000,"10099.2650"
"Switzerland",5570000,380000,1600000,40000,40000,5000,10000,20000,"8654.6220"
"Syria",1060000,18930000,420000,5000,5000,5000,5000,5000,"17500.6580"
"Taiwan",1280000,10000,2950000,5000,4950000,10260000,3760000,5000,"23816.7750"
"Tajikistan",110000,6650000,100000,5000,5000,5000,5000,5000,"9537.6450"
"Tanzania",27540000,15770000,650000,50000,5000,800000,30000,5000,"59734.2180"
"Thailand",600000,3770000,190000,70000,64420000,60000,5000,5000,"69799.9780"
"Togo",2640000,840000,370000,5000,5000,2150000,30000,5000,"8278.7240"
"Tokelau",5000,5000,5000,5000,5000,5000,5000,5000,"1.3570"
"Tonga",100000,5000,5000,5000,5000,5000,5000,5000,"105.6950"
"Trinidad and Tobago",880000,80000,30000,300000,5000,30000,20000,5000,"1399.4880"
"Tunisia",20000,10430000,20000,5000,5000,5000,5000,5000,"11818.6190"
"Turkey",320000,71330000,860000,5000,40000,20000,150000,20000,"84339.0670"
"Turkmenistan",320000,4690000,30000,5000,5000,5000,5000,5000,"6031.2000"
"Turks and Caicos Islands",30000,5000,5000,5000,5000,5000,5000,5000,"38.7170"
"Tuvalu",5000,5000,5000,5000,5000,5000,5000,5000,"11.7920"
"Uganda",28980000,3840000,170000,100000,5000,290000,40000,5000,"45741.0070"
"Ukraine",38100000,560000,6690000,10000,20000,5000,5000,50000,"43733.7620"
"United Arab Emirates",940000,5780000,90000,490000,150000,5000,60000,5000,"9890.4020"
"United Kingdom",39890000,2960000,17220000,890000,280000,60000,460000,290000,"67886.0110"
"United States",243060000,2770000,50980000,1790000,3570000,630000,1900000,5690000,"331002.6510"
